feature,feature_importance_mean,feature_importance_std
review_scores_accuracy,0.41176146,0.068770245
review_scores_value,0.32032046,0.062421322
review_scores_cleanliness,0.06346662,0.008356675
review_scores_communication,0.06253314,0.017962333
review_scores_checkin,0.02093576,0.0038048755
review_scores_location,0.011073478,0.000720204
