Month,average_price($)
January,212.8566217526292
February,213.79401524578904
March,217.3100647656466
April,217.5942116742965
May,220.59326045791013
June,223.02928847670663
July,224.18693089694034
August,223.71541212009123
September,213.42044780214522
October,203.75817825600583
November,202.77979219677692
December,212.79022285678812
