week,priceWithWeek($)
Monday,320.1175394180351
Tuesday,319.9815054980179
Wednesday,320.13558783326965
Thursday,321.1911156835008
Friday,329.6895809889455
Saturday,329.6467400375926
Sunday,321.843897810219
