feature,feature_importance_mean,feature_importance_std
host_time_on_airbnb,0.011601054404408506,0.0008583955485563102
reviews_per_month,0.010639918946723847,0.000503116282420896
host_is_superhost,0.0104610001029116,0.00041021896688615833
price_per_person,0.009365264902983039,0.00037591188050825413
host_listings_count,0.006918024906692155,0.0002731372358745981
